data,value
1,129
2,129
3,129
4,129
5,129
6,129
7,129
8,129
9,129
10,129
11,129
12,129
13,129
14,129
15,129
16,129
17,129
18,129
19,129
20,129
21,129
22,129
23,129
24,129
25,129
26,148
27,159
28,181
29,138
30,109
31,105
32,124
33,120
34,132
35,140
36,152
37,148
38,164
39,158
40,154
41,159
42,164
43,170
44,149
45,154
46,164
47,156
48,126
49,90
50,63
51,65
52,55
53,65
54,83
55,91
56,86
57,82
58,86
59,78
60,98
61,107
62,90
63,96
64,95
65,86
66,70
67,61
68,53
69,71
70,72
71,76
72,73
73,79
74,58
75,25
76,26
77,28
78,26
79,20
80,29
81,26
82,27
83,27
84,25
85,29
86,32
87,28
88,29
89,30
90,30
91,28
92,26
93,31
94,33
95,29
96,31
97,30
98,34
99,27
100,25
101,28
102,28
103,27
104,27
105,27
106,29
107,36
108,30
109,27
110,39
111,41
112,33
113,50
114,56
115,59
116,60
117,84
118,106
119,66
120,50
121,56
122,77
123,50
124,44
125,27
126,28
127,21
128,25
129,20
130,29
131,34
132,42
133,28
134,36
135,48
136,49
137,52
138,56
139,96
140,75
141,105
142,132
143,93
144,131
145,127
146,130
147,43
148,37
149,30
150,28
151,24
152,23
153,24
154,27
155,40
156,42
157,42
158,55
159,52
160,51
161,57
162,50
163,54
164,67
165,106
166,159
167,198
168,190
169,210
170,195
171,275
172,164
173,110
174,100
175,81
176,71
177,66
178,92
179,135
180,155
181,198
182,250
183,200
184,231
185,250
186,212
187,219
188,227
189,226
190,225
191,168
192,169
193,165
194,159
195,167
196,196
197,169
198,155
199,119
200,106
201,93
202,84
203,73
204,66
205,40
206,49
207,50
208,49
209,41
210,37
211,45
212,44
213,54
214,50
215,47
216,66
217,75
218,82
219,66
220,83
221,62
222,40
223,23
224,25
225,27
226,35
227,50
228,70
229,75
230,58
231,70
232,68
233,71
234,88
235,84
236,83
237,66
238,27
239,24
240,22
241,23
242,27
243,23
244,17
245,17
246,16
247,16
248,20
249,20
250,18
251,25
252,26
253,27
254,28
255,15
256,24
257,13
258,13
259,13
260,17
261,20
262,27
263,20
264,15
265,21
266,21
267,37
268,26
269,15
270,9
271,11
272,11
273,16
274,13
275,15
276,21
277,24
278,22
279,22
280,22
281,19
282,23
283,25
284,25
285,31
286,25
287,22
288,22
289,15
290,16
291,11
292,11
293,12
294,11
295,12
296,27
297,28
298,34
299,33
300,36
301,26
302,49
303,52
304,47
305,47
306,39
307,59
308,76
309,96
310,95
311,68
312,65
313,75
314,257
315,174
316,164
317,161
318,137
319,92
320,64
321,87
322,87
323,84
324,95
325,79
326,75
327,79
328,86
329,72
330,89
331,94
332,69
333,49
334,33
335,27
336,20
337,36
338,37
339,30
340,18
341,21
342,13
343,23
344,26
345,27
346,30
347,28
348,26
349,26
350,31
351,35
352,36
353,37
354,64
355,83
356,91
357,90
358,102
359,94
360,87
361,141
362,211
363,242
364,271
365,249
366,200
367,147
368,114
369,102
370,108
371,135
372,120
373,148
374,127
375,128
376,140
377,148
378,150
379,154
380,197
381,235
382,261
383,269
384,266
385,263
386,241
387,205
388,160
389,150
390,148
391,208
392,209
393,183
394,161
395,182
396,230
397,170
398,172
399,154
400,166
401,177
402,191
403,212
404,250
405,268
406,317
407,291
408,313
409,282
410,282
411,303
412,349
413,407
414,361
415,234
416,149
417,147
418,184
419,161
420,137
421,146
422,144
423,154
424,173
425,188
426,203
427,233
428,408
429,435
430,403
431,360
432,402
433,358
434,383
435,332
436,274
437,256
438,302
439,330
440,367
441,297
442,331
443,323
444,339
445,301
446,310
447,305
448,313
449,336
450,357
451,485
452,426
453,403
454,374
455,333
456,343
457,364
458,389
459,368
460,267
461,71
462,81
463,51
464,49
465,44
466,45
467,35
468,29
469,27
470,29
471,16
472,23
473,28
474,22
475,11
476,25
477,16
478,20
479,20
480,18
481,18
482,17
483,17
484,17
485,15
486,19
487,16
488,18
489,18
490,18
491,26
492,26
493,25
494,24
495,15
496,17
497,15
498,21
499,40
500,51
501,45
502,61
503,72
504,38
505,35
506,29
507,26
508,18
509,15
510,15
511,22
512,21
513,19
514,22
515,25
516,22
517,26
518,32
519,30
520,32
521,30
522,32
523,37
524,49
525,47
526,39
527,35
528,48
529,49
530,24
531,23
532,20
533,19
534,16
535,22
536,24
537,24
538,41
539,23
540,19
541,15
542,19
543,17
544,17
545,22
546,22
547,22
548,22
549,22
550,22
551,22
552,22
553,22
554,22
555,22
556,22
557,22
558,22
559,22
560,22
561,22
562,22
563,22
564,22
565,22
566,22
567,22
568,22
569,22
570,22
571,22
572,22
573,22
574,22
575,22
576,22
577,22
578,22
579,22
580,22
581,22
582,22
583,22
584,22
585,22
586,22
587,22
588,22
589,22
590,22
591,22
592,22
593,22
594,22
595,22
596,22
597,22
598,22
599,22
600,22
601,22
602,22
603,22
604,22
605,22
606,22
607,22
608,22
609,22
610,22
611,22
612,22
613,88
614,85
615,90
616,127
617,144
618,203
619,199
620,231
621,274
622,340
623,298
624,268
625,299
626,300
627,240
628,213
629,171
630,153
631,153
632,140
633,147
634,158
635,153
636,154
637,143
638,90
639,55
640,52
641,41
642,29
643,37
644,49
645,56
646,38
647,37
648,28
649,20
650,22
651,27
652,34
653,27
654,32
655,28
656,28
657,18
658,17
659,16
660,18
661,16
662,12
663,13
664,23
665,21
666,13
667,14
668,23
669,16
670,25
671,20
672,25
673,19
674,24
675,25
676,20
677,24
678,17
679,10
680,11
681,16
682,20
683,13
684,12
685,12
686,12
687,12
688,31
689,36
690,42
691,52
692,26
693,24
694,25
695,43
696,47
697,61
698,66
699,65
700,70
701,36
702,37
703,22
704,24
705,29
706,35
707,35
708,33
709,32
710,25
711,16
712,26
713,32
714,36
715,37
716,45
717,71
718,67
719,69
720,94
721,85
722,35
723,26
724,24
725,20
726,16
727,18
728,19
729,22
730,17
731,18
732,11
733,11
734,16
735,18
736,17
737,19
738,26
739,24
740,54
741,71
742,129
743,145
744,101
745,65
746,70
747,67
748,76
749,76
750,68
751,73
752,73
753,64
754,53
755,72
756,78
757,72
758,56
759,54
760,40
761,49
762,63
763,66
764,64
765,63
766,65
767,64
768,64
769,62
770,56
771,87
772,72
773,104
774,97
775,96
776,86
777,85
778,92
779,55
780,36
781,27
782,25
783,28
784,32
785,35
786,43
787,70
788,83
789,66
790,70
791,80
792,88
793,69
794,71
795,62
796,73
797,107
798,94
799,121
800,132
801,161
802,120
803,72
804,58
805,34
806,14
807,17
808,15
809,23
810,34
811,96
812,87
813,87
814,95
815,105
816,114
817,103
818,99
819,102
820,104
821,78
822,33
823,29
824,27
825,27
826,26
827,33
828,29
829,31
830,28
831,28
832,61
833,64
834,80
835,91
836,79
837,48
838,59
839,82
840,63
841,48
842,54
843,42
844,47
845,87
846,105
847,90
848,101
849,126
850,114
851,103
852,114
853,100
854,72
855,68
856,72
857,71
858,80
859,70
860,63
861,67
862,62
863,69
864,58
865,51
866,51
867,54
868,45
869,47
870,85
871,78
872,68
873,64
874,65
875,80
876,74
877,93
878,77
879,67
880,84
881,77
882,83
883,82
884,100
885,189
886,99
887,71
888,43
889,64
890,68
891,69
892,65
893,71
894,77
895,81
896,88
897,90
898,92
899,88
900,80
901,100
902,105
903,118
904,125
905,141
906,152
907,164
908,147
909,162
910,157
911,156
912,160
913,178
914,187
915,181
916,185
917,197
918,180
919,172
920,166
921,136
922,133
923,140
924,159
925,169
926,170
927,184
928,163
929,140
930,144
931,166
932,196
933,227
934,210
935,233
