data,value
2018/01/18,33
2018/01/19,31
2018/01/20,22
2018/01/21,16
2018/01/22,4
2018/01/23,7
2018/01/24,3
2018/01/25,5
2018/01/26,3
2018/01/27,2
2018/01/28,3
2018/01/29,7
2018/01/30,2
2018/01/31,3
2018/02/01,1
2018/02/02,3
2018/02/03,4
2018/02/05,3
2018/02/06,2
2018/02/09,5
2018/02/10,3
2018/03/07,1
2018/03/08,12
2018/03/09,12
2018/03/10,15
2018/03/11,7
2018/03/12,8
2018/03/13,38
2018/03/14,12
2018/03/15,8
2018/03/16,9
2018/03/17,12
2018/03/18,10
2018/03/19,8
2018/03/20,8
2018/03/21,14
2018/03/22,9
2018/03/23,5
2018/03/24,2
2018/03/25,8
2018/03/26,9
2018/03/27,1
2018/03/28,5
2018/03/29,1
2018/03/30,2
2018/03/31,1
2018/04/02,2
2018/04/04,2
2018/04/05,1
2018/04/06,1
2018/04/07,3
2018/04/08,1
2018/04/09,1
2018/04/10,3
2018/04/12,2
2018/04/13,1
2018/04/14,1
2018/04/15,1
2018/04/16,3
2018/04/18,1
2018/04/19,1
2018/04/20,2
2018/04/21,1
2018/04/22,4
2018/04/24,1
2018/05/05,1
2018/05/15,1
2018/05/21,2
2018/05/23,1
2018/06/09,2
2018/06/10,1
2018/06/14,1
2018/06/15,1
2018/07/11,1
2018/07/15,1
2018/07/16,3
